epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,957.523,0.99038,0.82017,0.86891,0,0,0,0,0,208.952,0,0.0008912,0.0008912,0.0008912
58,974.079,1.08474,0.92322,0.87454,0,0,0,0,0,198.372,0,0.0008714,0.0008714,0.0008714
59,990.788,1.11868,0.86396,0.8432,0,0,0,0,0,221.013,0,0.0008516,0.0008516,0.0008516
60,1007.49,0.97764,0.79605,0.84272,0,0,0,0,0,267.614,0,0.0008318,0.0008318,0.0008318
61,1024.09,0.91672,0.8067,0.84384,0,0,0,0,0,285.376,0,0.000812,0.000812,0.000812
62,1040.61,0.98593,0.84406,0.85244,0,0,0,0,0,271.389,0,0.0007922,0.0007922,0.0007922
63,1057.11,1.00382,0.80564,0.84382,0,0,0,0,0,241.761,0,0.0007724,0.0007724,0.0007724
64,1073.63,0.98879,0.81168,0.86209,0,0,0,0,0,222.593,0,0.0007526,0.0007526,0.0007526
65,1090.15,0.98819,0.7926,0.85054,0,0,0,0,0,218.33,0,0.0007328,0.0007328,0.0007328
66,1106.48,1.02398,0.81351,0.86694,0,0,0,0,0,234.369,0,0.000713,0.000713,0.000713
67,1122.89,0.97656,0.76473,0.84061,0,0,0,0,0,262.418,0,0.0006932,0.0006932,0.0006932
68,1139.81,1.06693,0.89548,0.83342,0,0,0,0,0,265.897,0,0.0006734,0.0006734,0.0006734
69,1156.51,1.01655,0.84311,0.8287,0,0,0,0,0,235.742,0,0.0006536,0.0006536,0.0006536
70,1173.21,0.96441,0.77682,0.82214,0,0,0,0,0,209.911,0,0.0006338,0.0006338,0.0006338
71,1189.66,1.03631,0.82789,0.85871,0,0,0,0,0,224.321,0,0.000614,0.000614,0.000614
72,1206.22,0.94125,0.74409,0.84941,0,0,0,0,0,253.466,0,0.0005942,0.0005942,0.0005942
73,1222.74,0.94106,0.72867,0.83309,0,0,0,0,0,273.63,0,0.0005744,0.0005744,0.0005744
74,1239.32,0.9526,0.77048,0.84541,0,0,0,0,0,274.059,0,0.0005546,0.0005546,0.0005546
75,1255.77,0.92394,0.74437,0.81667,0,0,0,0,0,270.062,0,0.0005348,0.0005348,0.0005348
76,1272.31,0.99745,0.78141,0.8365,0,0,0,0,0,266.151,0,0.000515,0.000515,0.000515
77,1289.04,0.95589,0.74248,0.8362,0,0,0,0,0,259.254,0,0.0004952,0.0004952,0.0004952
78,1305.62,0.97212,0.78015,0.81463,0,0,0,0,0,240.66,0,0.0004754,0.0004754,0.0004754
79,1322.35,0.92577,0.74006,0.81852,0,0,0,0,0,227.958,0,0.0004556,0.0004556,0.0004556
80,1339.08,0.89898,0.71575,0.8224,0,0,0,0,0,232.555,0,0.0004358,0.0004358,0.0004358
81,1355.47,0.88719,0.72157,0.81475,0,0,0,0,0,249.942,0,0.000416,0.000416,0.000416
82,1372.71,0.8705,0.68902,0.83113,0,0,0,0,0,278.374,0,0.0003962,0.0003962,0.0003962
83,1389.27,0.86882,0.68347,0.83739,0,0,0,0,0,311.064,0,0.0003764,0.0003764,0.0003764
84,1405.89,0.89901,0.74075,0.83049,0,0,0,0,0,338.071,0,0.0003566,0.0003566,0.0003566
85,1422.57,0.82712,0.65278,0.8141,0,0,0,0,0,358.778,0,0.0003368,0.0003368,0.0003368
86,1439.52,0.93499,0.73413,0.81521,0,0,0,0,0,374.878,0,0.000317,0.000317,0.000317
87,1456.49,0.85418,0.65982,0.80877,0,0,0,0,0,378.825,0,0.0002972,0.0002972,0.0002972
88,1473.67,0.86766,0.68918,0.82917,0,0,0,0,0,376.326,0,0.0002774,0.0002774,0.0002774
